Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603",35.052000,55.880000,0.000000,top
"C2","1pF","C_0603",30.124400,52.578000,90.000000,top
"C3","4.7uF","C_0603",41.783000,53.594000,-90.000000,top
"C4","100nF","C_0603",39.497000,53.594000,-90.000000,top
"C5","10uF","C_0603",26.009600,52.578000,90.000000,top
"C6","100nF","C_0603",48.768000,60.579000,-90.000000,top
"C7","10uF","C_1210_TDK_CGA6_2.8mm_Tall",16.000000,53.086000,90.000000,top
"C8","10nF","C_0603",45.770800,17.526000,90.000000,top
"C9","10nF","C_0603",62.274000,22.039000,-90.000000,top
"C10","10nF","C_0603",62.357000,34.163000,-90.000000,top
"C11","100nF","C_0603",21.666200,12.573000,-90.000000,top
"C12","10uF","C_1210_TDK_CGA6_2.8mm_Tall",16.000000,26.209998,90.000000,top
"C13","100nF","C_0603",27.940000,21.590000,90.000000,top
"C14","100nF","C_0603",26.035000,25.438000,90.000000,top
"C15","4.7uF","C_0603",27.940000,25.438000,90.000000,top
"D1","NZH5V1B,115","SOD-123F",47.117000,57.023000,0.000000,top
"D2","40V 1A","B5819W",34.290000,39.370000,90.000000,top
"F1","60V 1A","0ZCF0100AF2A",61.722000,57.912000,0.000000,top
"J1","S2P-VH","S2P-VH",63.830200,45.847000,90.000000,top
"J2","SM02B-PASS-TBT","SM02B-PASS-TBT",72.500000,22.048000,90.000000,top
"J3","SM02B-PASS-TBT","SM02B-PASS-TBT",72.500000,34.240000,90.000000,top
"J4","SM08B-PASS-TBT","SM08B-PASS-TBT",12.270000,54.799997,-90.000000,top
"J5","TC-2030-IDC","TC2030-IDC",27.889200,10.795000,0.000000,top
"J6","SM08B-PASS-TBT","SM08B-PASS-TBT",12.270000,28.129997,-90.000000,top
"J7","HEADER_MALE_THT_0.1"_4x1","61300411121",56.896000,19.939000,90.000000,top
"J8","HEADER_MALE_THT_0.1"_2x1","77311-118-02LF",36.068000,6.096000,180.000000,top
"J9","HEADER_MALE_THT_0.1"_4x1","61300411121",56.896000,7.620000,90.000000,top
"K1","EE2-3NUH","EE23NUH",24.030000,38.705000,180.000000,top
"L1","12uH","L_44.88mm3_6.8x6.8mm_Bourns_SRR6038-120Y",35.179000,61.976000,180.000000,top
"LED1","LTST-C190GKT","LED_0603",48.641000,64.135000,180.000000,top
"LED2","LTST-C190GKT","LED_0603",24.003000,64.135000,0.000000,top
"LED3","LTST-C190KSKT","LED_0603",39.116000,43.688000,180.000000,top
"LED4","LTST-C190KSKT","LED_0603",39.116000,41.021000,180.000000,top
"M1","~","mounting_hole_M3_NPTH",5.080000,5.080000,0.000000,top
"M2","~","mounting_hole_M3_NPTH",5.080000,64.920000,0.000000,top
"M3","~","mounting_hole_M3_NPTH",74.920000,64.920000,0.000000,top
"M4","~","mounting_hole_M3_NPTH",74.920000,5.080000,0.000000,top
"PB1","~","7914J-1-000",39.141400,17.932400,-90.000000,top
