"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","CRITICAL","DIGIKEY_PN_CT","MANUFACTURER","PARTNO"
"C1,C4,C6,C11,C13,C14","6","100nF","","","","passives_smd:C_0603","","","399-C0603C104K5RACTUCT-ND","KEMET","C0603C104K5RACTU"
"C2","1","1pF","","","","passives_smd:C_0603","","","478-KGM15ACG1H1R0CT-ND","KYOCERA AVX","06035A1R0CAT2A"
"C3,C15","2","4.7uF","","","","passives_smd:C_0603","","","490-7205-1-ND","Murata Electronics","GRM188R6YA475KE15D"
"C5","1","10uF","","","","passives_smd:C_0603","","","490-GRM188Z71A106MA73JCT-ND","Murata Electronics","GRM188Z71A106MA73J"
"C7,C12","2","10uF","","","","passives_smd:C_1210_TDK_CGA6_2.8mm_Tall","","","445-181658-1-ND","TDK","GRT188R61H105KE13D"
"C8,C9,C10","3","10nF","","","","passives_smd:C_0603","","","478-KGM15AR71H103KTCT-ND","KYOCERA AVX","KGM15AR71H103KT"
"D1","1","NZH5V1B,115","","","","diodes_smd:SOD-123F","","","1727-NZH5V1B,115CT-ND","Nexperia USA Inc.","NZH5V1B,115"
"D2","1","40V 1A","","","","diodes_smd:B5819W","","","5399-B5819WCT-ND","Shenzhen Slkormicro Semicon Co., Ltd.","B5819W"
"F1","1","60V 1A","","","","fuses_holders:0ZCF0100AF2A","","","5923-0ZCF0100AF2ACT-ND","Bel Fuse Inc.","0ZCF0100AF2A"
"J1","1","S2P-VH","","","","connectors_headers:S2P-VH","","","455-S2P-VH-ND","JST Sales America Inc.","S2P-VH"
"J2,J3","2","SM02B-PASS-TBT","","","","connectors_headers:SM02B-PASS-TBT","","","455-SM02B-PASS-TBTCT-ND","JST Sales America Inc.","SM02B-PASS-TBT"
"J4,J6","2","SM08B-PASS-TBT","","","","connectors_headers:SM08B-PASS-TBT","","","455-SM08B-PASS-TBTCT-ND","JST Sales America Inc.","SM08B-PASS-TBT"
"J7,J9","2","HEADER_MALE_THT_0.1""_4x1","DNP","","","connectors_headers:61300411121","","","732-5317-ND","Würth Elektronik","61300411121"
