"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C4, C6, C11, C13, C14";"C_0603";6;"100nF";;;
2;"C2";"C_0603";1;"1pF";;;
3;"C3, C15";"C_0603";2;"4.7uF";;;
4;"C5";"C_0603";1;"10uF";;;
5;"C7, C12";"C_1210_TDK_CGA6_2.8mm_Tall";2;"10uF";;;
6;"C8, C9, C10";"C_0603";3;"10nF";;;
7;"D1";"SOD-123F";1;"BZT52C5V1";;;
8;"D2";"B5819W";1;"40V 1A";;;
9;"F1";"0ZCF0100AF2A";1;"60V 1A";;;
10;"J1";"S2P-VH";1;"S2P-VH";;;
11;"J2, J3";"SM02B-PASS-TBT";2;"SM02B-PASS-TBT";;;
12;"J4, J6";"SM08B-PASS-TBT";2;"SM08B-PASS-TBT";;;
13;"J7, J9";"61300411121";2;"HEADER_MALE_THT_0.1"_4x1";;;
14;"J8";"77311-118-02LF";1;"HEADER_MALE_THT_0.1"_2x1";;;
15;"K1";"EE23NUH";1;"EE2-3NUH";;;
16;"L1";"L_44.88mm3_6.8x6.8mm_Bourns_SRR6038-120Y";1;"12uH";;;
17;"LED1, LED2";"LED_0603";2;"LTST-C190GKT";;;
18;"LED3";"LED_0603";1;"LTST-C190KSKT";;;
19;"LED4";"LED_0603";1;"LTST-C190KRKT";;;
20;"PB1";"7914J-1-000";1;"~";;;
21;"Q1";"SOT-223-4";1;"BSP170PH6327XTSA1";;;
22;"Q2";"SOT-23-3";1;"BC817-16";;;
23;"R1, R2";"R_0603";2;"0R";;;
24;"R3";"R_1206";1;"2.2K";;;
25;"R4";"R_0603";1;"2.87M";;;
26;"R5";"R_0603";1;"69.8K";;;
27;"R6, R19, R20";"R_0603";3;"120R";;;
28;"R7";"R_1206";1;"3.6K";;;
29;"R8";"R_0603";1;"200K";;;
30;"R9";"R_0603";1;"22.1K";;;
31;"R10, R11, R12, R13, R14, R15, R16, R17, R18";"R_0603";9;"10K";;;
32;"R21";"R_0603";1;"1K";;;
33;"R22, R23";"R_0603";2;"4K7";;;
34;"S1";"DS04-254-2-02BK-SMT-TR";1;"DS04-254-2-02BK-SMT-TR";;;
35;"S2";"CD10RM0SB";1;"CD10RM0SB";;;
36;"TVS1";"DO-214AC";1;"26V";;;
37;"TVS2, TVS3, TVS4, TVS6";"2-DFN_(1.6x1)";4;"3V3";;;
38;"TVS5, TVS7, TVS8";"SOT-23-6 [2.8x2.93x1.1,P=0.95]mm";3;"USBLC6-2SC6";;;
39;"U1";"SOT-23-6";1;"LMR54406DBVR";;;
40;"U2";"TSSOP-20 [6.4x4.4x1.2,P=0.65]mm";1;"STM32C011F6P6";;;
