"Reference","Qty","DNP","CRITICAL","DIGIKEY_PN_CT","MANUFACTURER","PARTNO","Description","#"
"C1,C4,C6,C11,C13,C14","6","","","399-C0603C104K5RACTUCT-ND","KEMET","C0603C104K5RACTU","CAP CER 0.1UF 50V X7R 0603","1"
"C2","1","","","478-KGM15ACG1H1R0CT-ND","KYOCERA AVX","06035A1R0CAT2A","CAP CER 1PF 50V C0G/NP0 0603","2"
"C3,C15","2","","","1276-6794-1-ND","Samsung Electro-Mechanics","CL10A475KL8NRNC","CAP CER 4.7UF 35V X5R 0603","3"
"C5","1","","","4713-GMC10X7R106K10NTCT-ND","Cal-Chip Electronics, Inc.","GMC10X7R106K10NT","CAP0603 X7R 10UF 10% 10V","4"
"C7,C12","2","","","445-CGA6P1X7S1N106K250AECT-ND","TDK","CGA6P1X7S1N106K250AE","10 µF ±10% 75V Ceramic Capacitor X7S 1210 (3225 Metric)","5"
"C8,C9,C10","3","","","478-KGM15AR71H103KTCT-ND","KYOCERA AVX","KGM15AR71H103KT","CAP CER 10000PF 50V X7R 0603","6"
"D1","1","","","4878-BZT52C5V1CT-ND","Diotec Semiconductor","BZT52C5V1","DIODE ZENER 5.1V 500MW SOD123F","7"
"D2","1","","","5399-B5819WCT-ND","Shenzhen Slkormicro Semicon Co., Ltd.","B5819W","DIODE SCHOTTKY 40V 1A SOD123","8"
"F1","1","","","5923-0ZCF0100AF2ACT-ND","Bel Fuse Inc.","0ZCF0100AF2A","PTC RESET FUSE 60V 1A","9"
"J1","1","","","455-S2P-VH-ND","JST Sales America Inc.","S2P-VH","CONN HEADER R/A 2POS 3.96MM","10"
"J2,J3","2","","","455-SM02B-PASS-TBTCT-ND","JST Sales America Inc.","SM02B-PASS-TBT","CONN HEADER SMD R/A 2POS 2MM","11"
"J4,J6","2","","","455-SM08B-PASS-TBTCT-ND","JST Sales America Inc.","SM08B-PASS-TBT","CONN HEADER SMD R/A 8POS 2MM","12"
"J7,J9","2","DNP","","732-5317-ND","Würth Elektronik","61300411121","Connector Header Through Hole 4 position 0.100"" (2.54mm)","13"
"J8","1","DNP","","609-4434-ND","Amphenol ICC (FCI)","77311-118-02LF","Connector Header Through Hole 2 position 0.100"" (2.54mm)","14"
"K1","1","","TRUE","399-EE2-3NUH-ND","KEMET","EE2-3NUH","RELAY GENERAL PURPOSE DPDT 2A 3V","15"
"L1","1","","","SRR6038-120YCT-ND","Bourns Inc.","SRR6038-120Y","FIXED IND 12UH 1.7A 53 MOHM SMD","16"
"LED1,LED2","2","","","160-LTST-C190GKTCT-ND","Lite-On Inc.","LTST-C190GKT","Green 569nm LED Indication - Discrete 2.1V 0603 (1608 Metric)","17"
"LED3","1","","NO","160-1437-1-ND","Lite-On Inc.","LTST-C190KSKT","Yellow 591nm LED Indication - Discrete 2.1V 0603 (1608 Metric)","18"
"LED4","1","","NO","160-1436-1-ND","Lite-On Inc.","LTST-C190KRKT","Red 631nm LED Indication - Discrete 2V 0603 (1608 Metric)","19"
"PB1","1","","","7914J-1-000-ND","Bourns Inc.","7914J-1-000","SWITCH TACTILE SPST-NO 0.1A 16V","20"
"Q1","1","","TRUE","BSP170PH6327XTSA1CT-ND","Infineon Technologies","BSP170PH6327XTSA1","MOSFET P-CH 60V 1.9A SOT223-4","21"
"Q2","1","","","5399-BC817-16CT-ND","Shenzhen Slkormicro Semicon Co., Ltd.","BC817-16","Bipolar (BJT) Transistor NPN 45 V 500 mA 100MHz 200 mW Surface Mount SOT-323","22"
"R1,R2","2","","","RMCF0603ZT0R00CT-ND","Stackpole Electronics Inc","RMCF0603ZT0R00","RES 0 OHM JUMPER 1/10W 0603","23"
"R3","1","","","1712-CRGH1206F2K2CT-ND","TE Connectivity Passive Product","CRGH1206F2K2","RES 2.2K OHM 1% 1/2W 1206","24"
"R4","1","","","541-2.87MHCT-ND","Vishay Dale","CRCW06032M87FKEA","RES SMD 2.87M OHM 1% 1/8W 0603","25"
"R5","1","","","311-69.8KHRCT-ND","YAGEO","RC0603FR-0769K8L","RES 69.8K OHM 1% 1/10W 0603","26"
"R6,R19,R20","3","","","13-RC0603FR-13120RLCT-ND","YAGEO","RC0603FR-13120RL","RES 120 OHM 1% 1/10W 0603","27"
"R7","1","","","311-3.60KFRCT-ND","YAGEO","RC1206FR-073K6L","RES 3.6K OHM 1% 1/4W 1206","28"
"R8","1","","","541-200KHCT-ND","Vishay Dale","CRCW0603200KFKEA","RES SMD 200K OHM 1% 1/8W 0603","29"
"R9","1","","","311-22.1KHRCT-ND","YAGEO","RC0603FR-0722K1L","RES 22.1K OHM 1% 1/10W 0603","30"
"R10,R11,R12,R13,R14,R15,R16,R17,R18","9","","","311-10.0KHRCT-ND","YAGEO","RC0603FR-0710KL","RES 10K OHM 1% 1/10W 0603","31"
"R21","1","","","RMCF0603FT1K00CT-ND","Stackpole Electronics Inc","RMCF0603FT1K00","RES 1K OHM 1% 1/10W 0603","32"
"R22,R23","2","DNP","","P4.70KHCT-ND","Panasonic Industry","ERJ-3EKF4701V","RES SMD 4.7K OHM 1% 1/10W 0603","33"
