Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Cb_inpflt,TDK,C3225X7R1H106M250AC,2,0.27,14.7,Cap: 10 µF  Total Derated Cap: 8.4 µF  VDC: 50 V  ESR: 1 mΩ  Package: 1210  
Cf_inpflt,MuRata,GRM31CR71H475KA12L,2,0.1,10.92,Cap: 4.7 µF  Total Derated Cap: 3.8 µF  VDC: 50 V  ESR: 3 mΩ  Package: 1206  
Rd_inpflt,Panasonic,ERJ-3RQFR33V,1,0.02,4.68,Resistance: 330 mΩ  Tolerance: 1.0%  Power: 100 mW  
Lf_inpflt,Coilcraft,XFL2005-151MEB,1,0.55,9.92,L: 150 nH  DCR: 85 mΩ  IDC: 1.6 A  
U1,Texas Instruments,LMR54406DBVR,1,0.469,14.82,
Cout,Taiyo Yuden,MSASJ219JB5106KTNA01,2,0.02973,6.75,Cap: 10 µF  Total Derated Cap: 12 µF  VDC: 6.3 V  ESR: 7.11 mΩ  Package: 0805  
Cinx,MuRata,GRM188R72A104KA35D,1,0.04,4.68,Cap: 100 nF  Total Derated Cap: 74 nF  VDC: 100 V  ESR: 1 mΩ  Package: 0603  
L1,NIC Components,NPI54C120MTRF,1,0.155,60.75,L: 12 µH  DCR: 100 mΩ  IDC: 1.6 A  
Cboot,Kemet,C0603C104M4RACTU,1,0.01,4.68,Cap: 100 nF  Total Derated Cap: 92 nF  VDC: 16 V  ESR: 1 mΩ  Package: 0603  
Cin,MuRata,GRM31CR71H475KA12L,1,0.1,10.92,Cap: 4.7 µF  Total Derated Cap: 2.3 µF  VDC: 50 V  ESR: 3 mΩ  Package: 1206  
Rfbb,Susumu Co Ltd,RG1608P-2212-B-T5,1,0.06,4.68,Resistance: 22.1 kΩ  Tolerance: 0.1%  Power: 100 mW  
Rfbt,Vishay-Dale,CRCW060369K8FKEA,1,0.01,4.68,Resistance: 69.8 kΩ  Tolerance: 1.0%  Power: 100 mW  
Cff,AVX,06035A1R0CAT2A,1,0.01,4.68,Cap: 1 pF  Total Derated Cap: 1 pF  VDC: 50 V  ESR: 1.78 Ω  Package: 0603  
Rent,Vishay-Dale,CRCW06032M80FKEA,1,0.01,4.68,Resistance: 2.8 MΩ  Tolerance: 1.0%  Power: 100 mW  
Renb,Vishay-Dale,CRCW0603200KFKEA,1,0.01,4.68,Resistance: 200 kΩ  Tolerance: 1.0%  Power: 100 mW  
